state,parcel_count,county_count,ogc_fid_pct,geoid_pct,parcelnumb_pct,parcelnumb_no_formatting_pct,state_parcelnumb_pct,account_number_pct,tax_id_pct,alt_parcelnumb1_pct,alt_parcelnumb2_pct,alt_parcelnumb3_pct,usecode_pct,usedesc_pct,zoning_pct,zoning_description_pct,zoning_type_pct,zoning_subtype_pct,zoning_code_link_pct,zoning_id_pct,struct_pct,structno_pct,yearbuilt_pct,numstories_pct,numunits_pct,numrooms_pct,structstyle_pct,parvaltype_pct,improvval_pct,landval_pct,parval_pct,agval_pct,homestead_exemption_pct,saleprice_pct,saledate_pct,taxamt_pct,taxyear_pct,owntype_pct,owner_pct,unmodified_owner_pct,ownfrst_pct,ownlast_pct,owner2_pct,owner3_pct,owner4_pct,previous_owner_pct,mailadd_pct,mail_address2_pct,careof_pct,mail_addno_pct,mail_addpref_pct,mail_addstr_pct,mail_addsttyp_pct,mail_addstsuf_pct,mail_unit_pct,mail_city_pct,mail_state2_pct,mail_zip_pct,mail_country_pct,mail_urbanization_pct,original_mailing_address_pct,address_pct,address2_pct,saddno_pct,saddpref_pct,saddstr_pct,saddsttyp_pct,saddstsuf_pct,sunit_pct,scity_pct,original_address_pct,city_pct,county_pct,state2_pct,szip_pct,szip5_pct,urbanization_pct,ll_address_count_pct,location_name_pct,address_source_pct,legaldesc_pct,plat_pct,book_pct,page_pct,block_pct,lot_pct,neighborhood_pct,neighborhood_code_pct,subdivision_pct,lat_pct,lon_pct,fema_flood_zone_pct,fema_flood_zone_subtype_pct,fema_flood_zone_raw_pct,fema_flood_zone_data_date_pct,qoz_pct,qoz_tract_pct,census_tract_pct,census_block_pct,census_blockgroup_pct,census_zcta_pct,census_elementary_school_district_pct,census_secondary_school_district_pct,census_unified_school_district_pct,ll_last_refresh_pct,sourceurl_pct,recrdareatx_pct,recrdareano_pct,deeded_acres_pct,gisacre_pct,sqft_pct,ll_gisacre_pct,ll_gissqft_pct,ll_bldg_footprint_sqft_pct,ll_bldg_count_pct,cdl_raw_pct,cdl_majority_category_pct,cdl_majority_percent_pct,cdl_date_pct,plss_township_pct,plss_section_pct,plss_range_pct,reviseddate_pct,path_pct,ll_stable_id_pct,ll_uuid_pct,ll_stack_uuid_pct,ll_row_parcel_pct,ll_updated_at_pct,precisely_id_pct,placekey_pct,dpv_status_pct,dpv_codes_pct,dpv_notes_pct,dpv_type_pct,cass_errorno_pct,rdi_pct,usps_vacancy_pct,usps_vacancy_date_pct,padus_public_access_pct,lbcs_activity_pct,lbcs_activity_desc_pct,lbcs_function_pct,lbcs_function_desc_pct,lbcs_structure_pct,lbcs_structure_desc_pct,lbcs_site_pct,lbcs_site_desc_pct,lbcs_ownership_pct,lbcs_ownership_desc_pct,housing_affordability_index_pct,population_density_pct,population_growth_past_5_years_pct,population_growth_next_5_years_pct,housing_growth_past_5_years_pct,housing_growth_next_5_years_pct,household_income_growth_next_5_years_pct,median_household_income_pct,fema_nri_risk_rating_pct,transmission_line_distance_pct,roughness_rating_pct,highest_parcel_elevation_pct,lowest_parcel_elevation_pct
MT,"908,546",56,100,100,97,97,0,0,0,98,2,0,0,97,23,23,23,23,23,23,0,0,0,41,5,0,41,100,100,100,100,0,6,0,73,0,97,0,97,0,0,0,1,0,0,0,97,0,11,77,7,78,50,6,0,97,97,97,0,0,97,60,0,49,7,52,49,7,1,65,57,100,100,100,100,100,0,100,2,100,97,0,36,37,0,0,0,0,47,100,100,0,0,0,0,100,8,100,100,100,100,76,76,24,100,0,0,41,0,100,0,100,100,53,100,42,42,42,42,100,100,100,0,100,100,100,0,1,100,52,59,59,50,59,50,59,44,44,59,0,96,96,96,96,51,51,54,54,78,78,100,100,100,100,100,100,100,100,100,99,98,98,98
NC,"5,862,217",100,100,100,100,100,6,17,1,92,35,5,48,61,91,91,91,91,91,91,38,24,71,65,21,23,10,95,91,91,94,0,0,87,91,1,25,0,100,1,6,7,27,0,0,5,99,0,2,63,4,63,56,1,1,99,99,99,0,0,99,96,0,78,7,80,79,4,1,95,95,100,100,100,100,100,0,100,0,100,70,7,95,92,12,13,22,31,14,100,100,48,45,48,48,100,11,100,100,100,100,0,0,100,100,13,0,36,18,94,1,100,100,74,100,8,8,8,8,0,0,0,9,100,99,100,2,0,100,79,88,93,77,93,77,93,70,70,93,0,70,70,70,70,70,70,71,71,74,74,100,100,100,100,100,100,100,100,100,93,92,92,92
ND,"756,023",53,100,100,99,99,22,1,0,75,28,1,0,60,23,19,18,18,18,18,17,30,10,8,2,6,0,88,65,63,77,51,3,15,15,5,70,5,90,0,0,0,6,0,0,1,86,1,5,64,4,64,49,33,0,86,85,87,30,0,89,45,0,34,3,34,32,21,0,51,80,100,100,100,100,100,0,100,0,100,90,19,0,0,17,26,1,1,16,100,100,46,34,46,46,100,6,100,100,100,100,3,0,97,100,5,0,1,20,71,4,100,100,44,100,49,49,49,49,100,100,100,3,100,98,100,5,2,100,38,38,44,36,44,36,44,31,31,44,0,71,71,70,70,37,37,72,72,77,76,100,100,100,100,100,100,100,100,100,96,95,95,95
NE,"1,189,654",93,100,100,99,99,9,0,0,38,33,0,21,87,43,46,41,41,41,41,0,18,61,60,17,24,11,84,75,73,83,22,0,71,70,40,40,0,96,7,0,0,3,0,0,12,93,1,4,68,19,68,54,0,0,92,92,92,1,0,88,71,0,58,24,58,55,0,0,77,93,100,100,100,100,100,0,100,0,100,89,0,34,16,6,18,2,16,24,100,100,77,71,77,77,100,5,100,100,100,100,0,0,100,100,18,0,40,0,36,21,100,100,69,100,27,27,27,27,100,100,100,0,100,99,100,1,1,100,64,70,70,61,70,61,70,59,59,70,0,87,87,86,86,66,66,87,87,85,85,99,100,100,100,100,100,100,100,100,99,98,98,98
NH,"709,968",10,100,100,100,100,100,0,0,98,96,91,97,96,96,63,63,63,63,63,0,0,79,57,5,59,76,96,96,96,96,0,0,46,46,0,96,0,96,0,0,0,41,0,0,0,96,1,4,77,2,77,65,0,0,96,96,95,0,0,96,99,0,79,2,79,77,0,0,93,98,100,100,100,100,100,0,100,0,100,0,0,0,0,40,70,0,94,0,100,100,84,77,84,84,100,9,100,100,100,100,31,12,69,100,0,0,96,0,96,0,100,100,83,100,13,13,13,13,0,0,0,96,100,88,100,15,0,100,82,83,94,79,94,79,94,70,70,94,0,95,95,95,95,95,95,95,95,76,76,99,100,100,100,100,100,100,100,100,85,85,85,85
NJ,"3,479,298",21,100,100,100,100,14,10,8,23,6,0,93,0,100,100,100,100,100,100,5,0,79,61,30,8,29,92,92,92,92,0,0,92,85,52,53,0,90,62,3,4,1,1,0,1,91,0,0,71,5,71,67,0,0,90,91,91,0,0,91,95,0,82,7,84,82,1,0,97,94,100,100,100,100,100,0,100,0,100,0,0,77,77,99,99,0,25,0,100,100,73,64,73,73,100,6,100,100,100,100,24,24,76,100,4,0,70,0,89,4,100,100,86,100,2,2,2,2,0,0,0,30,100,98,100,0,0,100,86,86,94,85,94,85,94,81,81,94,0,84,84,85,85,83,83,89,89,69,69,99,100,100,100,100,100,100,100,100,93,88,88,88
NM,"1,614,107",33,100,100,97,95,44,59,2,66,24,9,82,35,64,61,60,60,60,60,0,0,41,32,5,14,13,61,54,63,62,16,16,49,45,17,56,1,96,5,0,0,2,0,0,0,93,0,4,68,7,68,48,20,2,93,93,93,0,0,95,57,0,50,8,51,44,18,0,71,85,100,100,100,99,99,0,100,0,100,87,12,13,13,33,39,6,11,42,100,100,87,75,87,87,100,14,100,100,100,100,0,0,100,100,12,0,2,0,77,8,100,100,52,100,10,10,10,10,68,68,68,22,100,97,100,1,0,100,51,53,56,48,56,48,56,44,44,56,0,87,87,86,86,49,49,51,51,79,78,100,100,100,100,100,100,100,100,100,97,96,96,96
NV,"1,406,679",17,100,100,100,100,0,0,0,28,22,0,79,1,99,98,98,98,98,98,0,0,76,78,26,53,12,98,89,89,89,5,1,89,80,1,77,2,86,1,9,14,1,0,0,0,85,1,19,57,4,57,51,0,0,85,85,85,0,0,86,88,0,83,13,84,82,1,8,97,92,100,100,100,99,99,0,100,1,100,53,1,78,75,15,3,0,14,24,100,100,77,75,77,77,100,7,100,100,100,99,0,0,100,100,18,0,78,0,91,6,100,100,75,100,4,4,4,4,100,100,100,58,100,99,100,9,5,100,83,72,87,80,87,80,87,77,77,87,0,80,80,80,80,75,75,77,77,73,73,98,100,100,100,100,100,100,100,100,85,83,83,83
NY,"5,776,867",62,100,100,100,100,51,5,5,78,62,34,98,33,75,69,69,69,69,69,8,20,78,78,26,21,39,99,7,96,99,0,0,66,66,0,80,54,99,11,3,4,28,0,0,0,99,0,4,56,4,56,52,1,6,99,99,99,0,0,99,99,0,87,8,88,83,1,6,99,99,100,100,100,100,100,0,100,0,100,8,0,56,57,43,40,0,12,0,100,100,66,62,66,66,100,7,100,100,100,100,1,1,99,100,6,0,43,10,78,60,100,100,87,100,7,7,7,7,0,0,0,2,100,94,100,6,0,100,86,92,98,82,98,82,98,77,77,98,0,87,87,86,86,85,85,85,85,79,79,98,100,100,100,100,100,100,100,100,94,93,93,93
OH,"6,460,521",88,100,100,100,100,0,3,1,53,20,9,90,36,65,64,63,63,63,63,11,2,67,67,25,57,8,87,81,84,85,29,26,85,85,34,21,1,99,10,3,3,10,0,0,19,94,2,11,42,5,43,37,3,2,92,92,92,20,0,93,97,0,73,10,77,73,5,1,97,97,100,100,100,100,100,0,100,0,100,70,1,37,37,5,13,10,46,8,100,100,45,43,45,45,100,9,100,100,100,100,0,0,100,100,9,0,33,6,84,9,100,100,76,100,7,7,7,7,60,60,60,1,100,99,100,2,1,100,75,95,95,72,95,72,95,69,69,95,0,83,83,73,73,71,71,85,85,87,87,99,100,100,100,100,100,100,100,100,99,96,96,96
